READ,ACCEPTFRND,0,247,464,1134026754202553,1134027081692334,0,GetFriends
READ,ACCEPTFRND,1,247,13,1134027081722821,1134027160429441,0,GetFriends
READ,ACCEPTFRND,2,247,67,1134027161159941,1134027229779371,0,GetFriends
READ,ACCEPTFRND,3,247,102,1134027229799318,1134027299299730,0,GetFriends
READ,ACCEPTFRND,4,247,25,1134027299320449,1134027336912410,0,GetFriends
READ,ACCEPTFRND,5,247,230,1134027336926917,1134027385952865,0,GetFriends
READ,ACCEPTFRND,6,247,12,1134027385970268,1134027426957697,0,GetFriends
READ,ACCEPTFRND,7,247,53,1134027426981161,1134027469218546,0,GetFriends
READ,ACCEPTFRND,8,247,93,1134027469238193,1134027508083635,0,GetFriends
READ,ACCEPTFRND,9,247,0,1134027508098753,1134027545575228,0,GetFriends
READ,ACCEPTFRND,10,247,442,1134027545585327,1134027588126421,0,GetFriends
READ,ACCEPTFRND,11,247,99,1134027588138854,1134027625377903,0,GetFriends
READ,ACCEPTFRND,12,247,201,1134027625394725,1134027674954504,0,GetFriends
READ,ACCEPTFRND,13,247,4,1134027674963772,1134027711920902,0,GetFriends
READ,ACCEPTFRND,14,247,246,1134027711930660,1134027750803844,0,GetFriends
READ,ACCEPTFRND,15,247,494,1134027750811609,1134027800163127,0,GetFriends
READ,ACCEPTFRND,16,247,770,1134027800172785,1134027838912209,0,GetFriends
READ,ACCEPTFRND,17,247,51,1134027838922738,1134027884072386,0,GetFriends
READ,ACCEPTFRND,18,247,28,1134027884080942,1134027943835152,0,GetFriends
READ,ACCEPTFRND,19,247,22,1134027943843798,1134027977221445,0,GetFriends
READ,ACCEPTFRND,20,247,832,1134027977236924,1134028020404293,0,GetFriends
READ,ACCEPTFRND,21,247,105,1134028020410234,1134028059713706,0,GetFriends
READ,ACCEPTFRND,22,247,681,1134028059724195,1134028102466587,0,GetFriends
READ,ACCEPTFRND,23,247,313,1134028102472017,1134028142365355,0,GetFriends
READ,ACCEPTFRND,24,247,0,1134028142371757,1134028185374377,0,GetFriends
READ,ACCEPTFRND,25,247,39,1134028185386349,1134028227943694,0,GetFriends
READ,ACCEPTFRND,26,247,53,1134028227954875,1134028267089389,0,GetFriends
READ,ACCEPTFRND,27,247,8,1134028267104878,1134028309049123,0,GetFriends
READ,ACCEPTFRND,28,247,14,1134028309059212,1134028350898830,0,GetFriends
READ,ACCEPTFRND,29,247,14,1134028350909200,1134028391060712,0,GetFriends
READ,ACCEPTFRND,30,247,514,1134028391068487,1134028433847767,0,GetFriends
READ,ACCEPTFRND,31,247,3,1134028433861373,1134028474047369,0,GetFriends
READ,ACCEPTFRND,32,247,382,1134028474058350,1134028516989315,0,GetFriends
READ,ACCEPTFRND,33,247,136,1134028517004233,1134028556979845,0,GetFriends
READ,ACCEPTFRND,34,247,8,1134028556989083,1134028598548285,0,GetFriends
READ,ACCEPTFRND,35,247,464,1134028598557292,1134028638714224,0,GetFriends
READ,ACCEPTFRND,36,247,4,1134028638724804,1134028679543277,0,GetFriends
READ,ACCEPTFRND,37,247,188,1134028679554909,1134028721127447,0,GetFriends
READ,ACCEPTFRND,38,247,4,1134028721156571,1134028761199430,0,GetFriends
READ,ACCEPTFRND,39,247,160,1134028761207495,1134028802280876,0,GetFriends
READ,ACCEPTFRND,40,247,23,1134028802299611,1134028845060167,0,GetFriends
READ,ACCEPTFRND,41,247,4,1134028845069514,1134028886935001,0,GetFriends
READ,ACCEPTFRND,42,247,225,1134028886948276,1134028928543756,0,GetFriends
READ,ACCEPTFRND,43,247,590,1134028928552613,1134028986198790,0,GetFriends
READ,ACCEPTFRND,44,247,6,1134028986206184,1134029037522708,0,GetFriends
READ,ACCEPTFRND,45,247,2,1134029037529821,1134029051931224,0,GetFriends
READ,ACCEPTFRND,46,247,354,1134029051937756,1134029117004952,0,GetFriends
READ,ACCEPTFRND,47,247,246,1134029117016855,1134029159348626,0,GetFriends
READ,ACCEPTFRND,48,247,18,1134029159355810,1134029197402133,0,GetFriends
READ,ACCEPTFRND,49,247,32,1134029197412773,1134029241102322,0,GetFriends
READ,ACCEPTFRND,50,247,700,1134029241108734,1134029289706408,0,GetFriends
READ,ACCEPTFRND,51,247,1,1134029289712820,1134029331540937,0,GetFriends
READ,ACCEPTFRND,52,247,325,1134029331547499,1134029375701409,0,GetFriends
READ,ACCEPTFRND,53,247,7,1134029375707119,1134029417278545,0,GetFriends
READ,ACCEPTFRND,54,247,42,1134029417288543,1134029458536031,0,GetFriends
READ,ACCEPTFRND,55,247,492,1134029458540399,1134029497426698,0,GetFriends
READ,ACCEPTFRND,56,247,109,1134029497433200,1134029537648262,0,GetFriends
READ,ACCEPTFRND,57,247,366,1134029537652620,1134029578410369,0,GetFriends
READ,ACCEPTFRND,58,247,265,1134029578425908,1134029619961135,0,GetFriends
READ,ACCEPTFRND,59,247,169,1134029619965604,1134029662736138,0,GetFriends
READ,ACCEPTFRND,60,247,20,1134029662748121,1134029703622900,0,GetFriends
READ,ACCEPTFRND,61,247,24,1134029703627128,1134029743034233,0,GetFriends
READ,ACCEPTFRND,62,247,76,1134029743041938,1134029783840333,0,GetFriends
READ,ACCEPTFRND,63,247,496,1134029783850202,1134029825101386,0,GetFriends
READ,ACCEPTFRND,64,247,38,1134029825106596,1134029865928957,0,GetFriends
READ,ACCEPTFRND,65,247,564,1134029865936361,1134029907717770,0,GetFriends
READ,ACCEPTFRND,66,247,431,1134029907725835,1134029949546157,0,GetFriends
READ,ACCEPTFRND,67,247,5,1134029949552159,1134029992069969,0,GetFriends
